control_id,label,source_group,source_id,source_label,seed,sampling_strategy,number_of_train_images,number_of_val_images,number_of_test_images,precision,recall,F1,mAP50,mAP50-95,training_status,model_path,subset_status,evaluation_status,reference_mAP50-95,reference_mAP50,reference_F1,delta_mAP50-95_vs_reference,delta_mAP50_vs_reference,delta_F1_vs_reference,delta_mAP50-95_vs_full_M4,delta_mAP50_vs_full_M4,delta_F1_vs_full_M4
mc_single_best_s00,M4 matched to best single (seed 0),single,sv0034,elmid-radmid-az045,0,stratified_viewpoint,135,35,2214,0.6964908477463057,0.7512333232844619,0.7228271029240826,0.6964908477463057,0.4802535379322238,completed,/vol/tensusers6/lisannehuisman/projects/yolov8l/outputs/m4_matched_control_experiment/controls/mc_single_best_s00/train/weights/best.pt,completed,completed,0.41641372706811924,0.6215519989811171,0.6557867852119496,0.06383981086410456,0.07493884876518853,0.06704031771213304,nan,nan,nan
mc_single_mean_s00,M4 matched to single-view mean (seed 0),single_mean,single_mean,Mean across 72 completed single-view models,0,stratified_viewpoint,144,31,2214,0.7074384487763367,0.7557854700137667,0.730813231861789,0.7074384487763367,0.4843424443567048,completed,/vol/tensusers6/lisannehuisman/projects/yolov8l/outputs/m4_matched_control_experiment/controls/mc_single_mean_s00/train/weights/best.pt,completed,completed,0.3383832798544885,0.5335820463546795,0.5743170970157713,0.1459591645022163,0.17385640242165712,0.15649613484601776,nan,nan,nan
mc_pair_best_s00,M4 matched to best pair (seed 0),pair,p0569,ellow-radmid-az000 + elmid-radmid-az225,0,stratified_viewpoint,298,59,2214,0.7363140137857267,0.7822669224228288,0.758595190769412,0.7363140137857267,0.5196081532104622,completed,/vol/tensusers6/lisannehuisman/projects/yolov8l/outputs/m4_matched_control_experiment/controls/mc_pair_best_s00/train/weights/best.pt,completed,completed,0.4957698038530213,0.7252476613685452,0.74782767355684,0.02383834935744089,0.011066352417181458,0.010767517212571964,nan,nan,nan
mc_pair_mean_s00,M4 matched to pair-view mean (seed 0),pair_mean,pair_mean,Mean across completed pair-view models,0,stratified_viewpoint,287,61,2214,0.7403298067407955,0.7818144083659544,0.7605067957534424,0.7403298067407955,0.523438376524429,completed,/vol/tensusers6/lisannehuisman/projects/yolov8l/outputs/m4_matched_control_experiment/controls/mc_pair_mean_s00/train/weights/best.pt,completed,completed,0.4206643113091331,0.6306084246385846,0.6623841964094673,0.10277406521529592,0.10972138210221094,0.09812259934397505,nan,nan,nan
