epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,735.687,0.71601,0.61177,0.95685,0.86779,0.64015,0.70671,0.47324,0.95681,0.72049,1.03675,0.000472489,0.000472489,0.000472489
43,752.766,0.71793,0.59801,0.9554,0.8612,0.64082,0.71127,0.48348,0.95844,0.72111,1.04452,0.000466599,0.000466599,0.000466599
44,769.539,0.72588,0.6037,0.95184,0.85544,0.63518,0.70357,0.47226,0.95983,0.72383,1.04653,0.000460709,0.000460709,0.000460709
45,787.029,0.70204,0.58609,0.94398,0.85989,0.62859,0.70152,0.45714,1.02416,0.74656,1.07783,0.000454818,0.000454818,0.000454818
46,803.947,0.72113,0.5842,0.95127,0.84913,0.63428,0.69896,0.45944,1.00878,0.71896,1.06973,0.000448928,0.000448928,0.000448928
47,820.837,0.72277,0.59042,0.9625,0.85896,0.63083,0.70209,0.46345,0.99723,0.72233,1.0648,0.000443037,0.000443037,0.000443037
48,837.631,0.71926,0.59269,0.95345,0.85228,0.64277,0.70789,0.46951,0.977,0.7109,1.04963,0.000437147,0.000437147,0.000437147
49,855.242,0.69489,0.57406,0.94552,0.85648,0.64039,0.70878,0.47731,0.97651,0.71858,1.06637,0.000431256,0.000431256,0.000431256
50,872.303,0.71685,0.58342,0.95849,0.86813,0.63831,0.70759,0.47204,0.97145,0.70208,1.0489,0.000425365,0.000425365,0.000425365
51,888.919,0.7007,0.58071,0.95473,0.86375,0.6435,0.71016,0.47275,0.96724,0.69925,1.04645,0.000419475,0.000419475,0.000419475
52,905.857,0.6871,0.55938,0.94594,0.88143,0.63334,0.71049,0.4799,0.95613,0.70269,1.04681,0.000413584,0.000413584,0.000413584
53,923.106,0.70648,0.56712,0.94346,0.87534,0.64306,0.70949,0.47494,0.95804,0.68949,1.04263,0.000407694,0.000407694,0.000407694
54,940.236,0.69143,0.56434,0.9473,0.87584,0.63974,0.71238,0.47478,0.97918,0.68686,1.04673,0.000401804,0.000401804,0.000401804
55,956.914,0.68754,0.55724,0.94799,0.8713,0.64314,0.71166,0.4699,0.97516,0.67683,1.04897,0.000395913,0.000395913,0.000395913
56,973.992,0.69359,0.55476,0.94339,0.88156,0.63555,0.70878,0.47397,0.979,0.68564,1.05263,0.000390023,0.000390023,0.000390023
57,991.329,0.67015,0.53811,0.9343,0.8701,0.64763,0.716,0.48496,0.94878,0.66846,1.04224,0.000384132,0.000384132,0.000384132
58,1008.49,0.69316,0.55386,0.94138,0.85535,0.64125,0.70769,0.4675,0.98252,0.68872,1.06176,0.000378242,0.000378242,0.000378242
59,1025.17,0.68956,0.55906,0.94784,0.88013,0.64631,0.71703,0.48418,0.95619,0.67268,1.04819,0.000372351,0.000372351,0.000372351
60,1042.29,0.68949,0.54846,0.94466,0.86352,0.64529,0.71112,0.47954,0.95642,0.68182,1.06002,0.00036646,0.00036646,0.00036646
61,1059.55,0.67441,0.54246,0.94135,0.87678,0.63217,0.70639,0.47152,0.97692,0.70354,1.06459,0.00036057,0.00036057,0.00036057
62,1076.62,0.67098,0.54633,0.94001,0.86036,0.64479,0.71108,0.47006,0.98084,0.68206,1.07333,0.00035468,0.00035468,0.00035468
63,1093.36,0.65319,0.51496,0.92307,0.87634,0.63712,0.71136,0.47944,0.96224,0.67467,1.05352,0.000348789,0.000348789,0.000348789
64,1110.36,0.66667,0.52393,0.93519,0.86942,0.63869,0.71363,0.48045,0.94822,0.68113,1.05163,0.000342899,0.000342899,0.000342899
65,1127.63,0.66444,0.52308,0.93947,0.87446,0.64632,0.71955,0.48339,0.95176,0.66487,1.04886,0.000337008,0.000337008,0.000337008
66,1144.76,0.66538,0.52563,0.93633,0.88372,0.64117,0.71577,0.47409,0.97564,0.66159,1.05108,0.000331118,0.000331118,0.000331118
67,1161.5,0.65365,0.51168,0.92487,0.88559,0.64433,0.71504,0.48696,0.94849,0.65441,1.04849,0.000325227,0.000325227,0.000325227
68,1178.56,0.65621,0.51806,0.94183,0.88162,0.64482,0.71683,0.48739,0.94633,0.65606,1.04468,0.000319336,0.000319336,0.000319336
69,1195.91,0.66697,0.53253,0.93647,0.87696,0.65017,0.71906,0.48195,0.96493,0.64845,1.04393,0.000313446,0.000313446,0.000313446
70,1213.16,0.67253,0.53041,0.93947,0.88703,0.64469,0.71721,0.48631,0.9412,0.65479,1.03259,0.000307555,0.000307555,0.000307555
71,1230.02,0.64339,0.5003,0.9223,0.8705,0.6507,0.71824,0.48581,0.94426,0.65511,1.04324,0.000301665,0.000301665,0.000301665
72,1247.06,0.65171,0.50844,0.92535,0.87381,0.64724,0.71923,0.48412,0.95013,0.65206,1.03714,0.000295775,0.000295775,0.000295775
73,1264.12,0.63944,0.49354,0.92729,0.88708,0.65001,0.72528,0.49308,0.94177,0.64161,1.03907,0.000289884,0.000289884,0.000289884
74,1281.27,0.64961,0.50372,0.92496,0.87453,0.65103,0.72109,0.49092,0.93733,0.64453,1.04042,0.000283994,0.000283994,0.000283994
75,1298.36,0.64311,0.50058,0.91983,0.87582,0.64633,0.71844,0.48168,0.95458,0.65876,1.04946,0.000278103,0.000278103,0.000278103
76,1315.5,0.65002,0.50492,0.9275,0.87602,0.64463,0.71496,0.48067,0.9546,0.65051,1.03883,0.000272212,0.000272212,0.000272212
77,1332.34,0.65213,0.51134,0.93956,0.87341,0.64884,0.7168,0.48283,0.95978,0.64917,1.0486,0.000266322,0.000266322,0.000266322
78,1349.92,0.64264,0.49178,0.92342,0.88298,0.64908,0.7203,0.48621,0.95177,0.64699,1.04109,0.000260431,0.000260431,0.000260431
79,1367.02,0.63399,0.49722,0.92753,0.87884,0.64462,0.7151,0.47445,0.96445,0.66227,1.05084,0.000254541,0.000254541,0.000254541
