epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8181.77,0.62918,0.35404,0.9274,0.93705,0.76354,0.83714,0.64023,0.63993,0.33728,0.91194,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8426.8,0.62746,0.35219,0.92602,0.93354,0.76148,0.83568,0.64314,0.63431,0.33094,0.91269,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8668.51,0.62083,0.34577,0.92189,0.93456,0.76942,0.83848,0.64801,0.63171,0.32756,0.90918,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8911.06,0.62089,0.34566,0.92165,0.93724,0.77059,0.8418,0.65034,0.62442,0.32525,0.90815,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9153.42,0.61721,0.34221,0.91897,0.94118,0.76625,0.84296,0.64783,0.62071,0.32443,0.90575,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9395.3,0.61169,0.34012,0.91748,0.94011,0.76633,0.84277,0.6529,0.61911,0.32142,0.90408,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9638.29,0.60803,0.33709,0.91168,0.93497,0.77159,0.84482,0.65317,0.62037,0.31941,0.89978,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9881.14,0.60408,0.33373,0.90797,0.93852,0.77009,0.84231,0.6499,0.62246,0.31622,0.9024,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10122.8,0.60323,0.33059,0.90561,0.93852,0.76883,0.84365,0.64965,0.62028,0.31546,0.90025,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10364.2,0.59912,0.32925,0.90644,0.94066,0.7718,0.84498,0.65193,0.61416,0.31313,0.90212,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10607.6,0.59688,0.32587,0.90539,0.94013,0.77462,0.84738,0.65604,0.61637,0.30961,0.90292,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10852.1,0.59469,0.32529,0.90306,0.93954,0.77452,0.8455,0.65862,0.614,0.30904,0.89934,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11098.8,0.59185,0.32194,0.9025,0.93928,0.77688,0.84797,0.65586,0.61609,0.30676,0.89947,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11345.5,0.59015,0.32069,0.90256,0.94256,0.77638,0.84859,0.65796,0.60777,0.30373,0.89855,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11586.8,0.58421,0.3178,0.90079,0.94169,0.77636,0.84974,0.65965,0.60497,0.3022,0.89898,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11832.1,0.58033,0.31435,0.89974,0.94082,0.77982,0.85141,0.65876,0.6077,0.30136,0.89921,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
