epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1306,1.187,3.96778,1.2052,0.01127,0.30137,0.0345,0.0244,1.03827,3.83067,1.06796,5.712e-05,5.712e-05,5.712e-05
2,80.009,1.04746,3.63548,1.14761,0.01981,0.38752,0.07965,0.05882,0.98474,3.73293,1.01957,0.000120379,0.000120379,0.000120379
3,97.5711,1.11601,3.24984,1.18461,0.021,0.42023,0.1129,0.08343,1.04856,3.6033,1.0227,0.000182577,0.000182577,0.000182577
4,114.056,1.02689,2.66116,1.13654,0.02213,0.44489,0.16997,0.12465,1.07474,3.41487,1.04182,0.000243715,0.000243715,0.000243715
5,131.71,1.05226,2.17253,1.1496,0.88204,0.11338,0.24555,0.16682,1.17852,3.02118,1.10113,0.000303793,0.000303793,0.000303793
6,148.964,1.06607,1.74565,1.12801,0.74479,0.18856,0.29242,0.20779,1.21486,2.71574,1.11103,0.00036281,0.00036281,0.00036281
7,166.17,1.03025,1.54227,1.12004,0.74967,0.20974,0.36631,0.2379,1.26065,2.60455,1.14371,0.000420767,0.000420767,0.000420767
8,182.929,1.02174,1.43547,1.14247,0.77895,0.21522,0.42632,0.27416,1.23084,2.49863,1.15718,0.000477664,0.000477664,0.000477664
9,200.633,0.98145,1.30277,1.10483,0.76965,0.29159,0.47895,0.30454,1.25715,2.2732,1.15426,0.000533501,0.000533501,0.000533501
10,218.025,0.90502,1.14711,1.05834,0.7505,0.32387,0.49593,0.3193,1.21505,2.15442,1.16636,0.000588277,0.000588277,0.000588277
11,235.198,0.91611,1.17882,1.06031,0.76055,0.35577,0.50157,0.32358,1.17903,2.13959,1.1617,0.000641993,0.000641993,0.000641993
12,251.57,0.92394,1.12732,1.06945,0.77237,0.37276,0.50652,0.32331,1.21322,2.01991,1.20706,0.000649204,0.000649204,0.000649204
13,269.29,0.90415,1.0894,1.05732,0.73597,0.42549,0.52323,0.34478,1.16967,1.81483,1.19767,0.000643314,0.000643314,0.000643314
14,287.117,0.92971,1.05225,1.07448,0.71892,0.47018,0.52416,0.33827,1.19425,1.6922,1.19105,0.000637423,0.000637423,0.000637423
15,304.442,0.8898,1.04264,1.05954,0.71425,0.46913,0.52514,0.33245,1.19489,1.61763,1.18082,0.000631533,0.000631533,0.000631533
