epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1629.82,0.74516,0.51482,0.96745,0.89927,0.69246,0.76537,0.54688,0.82185,0.51887,0.95889,0.000472489,0.000472489,0.000472489
43,1666.89,0.74977,0.51916,0.96831,0.90111,0.69323,0.76652,0.55323,0.81877,0.51868,0.95448,0.000466599,0.000466599,0.000466599
44,1704.41,0.73666,0.50731,0.96634,0.90175,0.69798,0.76833,0.5494,0.83199,0.52278,0.96326,0.000460709,0.000460709,0.000460709
45,1741.43,0.74921,0.51533,0.97476,0.90654,0.69321,0.76837,0.54001,0.85077,0.5198,0.95727,0.000454818,0.000454818,0.000454818
46,1778.81,0.73349,0.5025,0.96719,0.91149,0.69563,0.77213,0.56183,0.79464,0.50762,0.95293,0.000448928,0.000448928,0.000448928
47,1815.86,0.73787,0.50457,0.96392,0.89998,0.69509,0.768,0.55094,0.82466,0.52129,0.95615,0.000443037,0.000443037,0.000443037
48,1852.79,0.74672,0.50973,0.9646,0.90657,0.70435,0.77472,0.55956,0.8079,0.5024,0.94754,0.000437147,0.000437147,0.000437147
49,1889.68,0.72763,0.49069,0.95913,0.91114,0.69733,0.77187,0.54998,0.83142,0.50975,0.95391,0.000431256,0.000431256,0.000431256
50,1926.34,0.72328,0.48973,0.96012,0.89934,0.70461,0.77147,0.55237,0.8176,0.50697,0.9493,0.000425365,0.000425365,0.000425365
51,1963.25,0.72902,0.49628,0.96015,0.90831,0.69268,0.76712,0.54165,0.83968,0.50612,0.95272,0.000419475,0.000419475,0.000419475
52,2000.74,0.72357,0.48731,0.95715,0.91426,0.69552,0.775,0.56159,0.80357,0.49429,0.948,0.000413584,0.000413584,0.000413584
53,2039.89,0.72243,0.48776,0.95521,0.9152,0.69648,0.77151,0.56355,0.78852,0.49369,0.94284,0.000407694,0.000407694,0.000407694
54,2079.47,0.71518,0.48285,0.95159,0.90829,0.70245,0.77475,0.55288,0.80702,0.4912,0.94507,0.000401804,0.000401804,0.000401804
55,2117.52,0.71248,0.48094,0.95273,0.90846,0.70603,0.77767,0.56102,0.81518,0.49372,0.95535,0.000395913,0.000395913,0.000395913
