epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5299,1.14821,3.97887,1.30517,0.42896,0.35607,0.32227,0.21858,0.96281,3.25461,1.11321,5.712e-05,5.712e-05,5.712e-05
2,124.267,0.90262,1.69498,1.11492,0.71493,0.46784,0.52357,0.34886,0.98495,1.96068,1.10878,0.000120178,0.000120178,0.000120178
3,183.269,0.82437,1.17185,1.06643,0.68633,0.50547,0.5411,0.3492,1.02585,2.76876,1.16551,0.000181964,0.000181964,0.000181964
4,252.055,0.82485,1.09521,1.07107,0.73358,0.494,0.54354,0.34834,1.0592,1.86464,1.20536,0.000242478,0.000242478,0.000242478
5,307.215,0.85819,1.11793,1.09062,0.67986,0.46651,0.48524,0.31975,1.17556,2.11088,1.35336,0.000301719,0.000301719,0.000301719
6,360.599,0.84423,1.05011,1.06904,0.61898,0.48334,0.48191,0.29317,1.19204,3.55622,1.40654,0.000359688,0.000359688,0.000359688
7,408.357,0.82461,0.89314,1.0757,0.62218,0.51193,0.49667,0.29102,1.22002,2.84574,1.4352,0.000416385,0.000416385,0.000416385
8,462.046,0.89405,0.96228,1.10385,0.58117,0.48201,0.47801,0.28071,1.25264,2.88292,1.49761,0.000471809,0.000471809,0.000471809
9,516.078,0.86167,0.92299,1.08137,0.56508,0.44994,0.45613,0.26755,1.28573,3.49006,1.53681,0.000525961,0.000525961,0.000525961
10,563.045,0.90716,0.96298,1.09488,0.62959,0.46986,0.4685,0.27879,1.25029,3.4242,1.54637,0.000578841,0.000578841,0.000578841
11,595.98,0.90412,0.96938,1.1133,0.59813,0.49911,0.47358,0.2982,1.20399,4.45125,1.5558,0.000630448,0.000630448,0.000630448
12,615.796,0.83357,0.86654,1.05796,0.66415,0.45112,0.47337,0.27806,1.34804,3.36411,1.62081,0.000636245,0.000636245,0.000636245
13,635.795,0.84219,0.81955,1.05328,0.64531,0.46676,0.50326,0.29775,1.26719,2.7048,1.53998,0.000629177,0.000629177,0.000629177
14,656.241,0.82585,0.81011,1.0783,0.61604,0.44302,0.45669,0.26391,1.42205,2.56278,1.68754,0.000622108,0.000622108,0.000622108
15,676.572,0.80315,0.75351,1.06287,0.63307,0.45928,0.46193,0.27955,1.30828,2.51703,1.58621,0.00061504,0.00061504,0.00061504
16,699.733,0.86281,0.77739,1.06225,0.63381,0.48833,0.50474,0.30169,1.30588,1.7537,1.52196,0.000607971,0.000607971,0.000607971
17,725.654,0.82939,0.76342,1.05651,0.7189,0.48044,0.52122,0.32303,1.26077,1.52471,1.50874,0.000600902,0.000600902,0.000600902
18,756.632,0.79662,0.72487,1.05074,0.67587,0.46661,0.50055,0.3008,1.3336,1.67394,1.58364,0.000593834,0.000593834,0.000593834
19,778.824,0.81493,0.72809,1.06349,0.64087,0.46876,0.49499,0.29518,1.31622,1.74738,1.59251,0.000586765,0.000586765,0.000586765
20,801.792,0.78958,0.69348,1.03823,0.69452,0.46497,0.51237,0.31414,1.29596,2.37144,1.50154,0.000579697,0.000579697,0.000579697
