epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1202.87,0.68307,0.47837,0.95942,0.80416,0.59805,0.65664,0.45942,0.95102,0.78328,1.06486,0.000472489,0.000472489,0.000472489
43,1230.39,0.68785,0.48636,0.96481,0.79438,0.5973,0.65724,0.46249,0.96697,0.80121,1.07147,0.000466599,0.000466599,0.000466599
44,1257.83,0.69648,0.48149,0.95361,0.81495,0.59597,0.66354,0.47156,0.94652,0.77326,1.0601,0.000460709,0.000460709,0.000460709
45,1285.43,0.67237,0.46985,0.95113,0.80885,0.59741,0.66075,0.46687,0.93716,0.78122,1.07306,0.000454818,0.000454818,0.000454818
46,1312.7,0.6849,0.47545,0.95627,0.7735,0.59779,0.65076,0.44833,0.94982,0.82932,1.06361,0.000448928,0.000448928,0.000448928
47,1340.28,0.67062,0.46377,0.94921,0.81012,0.59151,0.65252,0.45536,0.95637,0.81641,1.07549,0.000443037,0.000443037,0.000443037
48,1367.74,0.67927,0.47403,0.95809,0.76603,0.59703,0.65181,0.45353,0.95995,0.81511,1.06931,0.000437147,0.000437147,0.000437147
49,1395.3,0.66876,0.46017,0.94715,0.76279,0.58965,0.64732,0.45552,0.9532,0.8014,1.06626,0.000431256,0.000431256,0.000431256
50,1422.64,0.66472,0.45568,0.94035,0.83105,0.58984,0.66153,0.46159,0.95403,0.7735,1.06074,0.000425365,0.000425365,0.000425365
51,1450.1,0.66356,0.45561,0.94641,0.81221,0.61123,0.67525,0.48074,0.94042,0.75426,1.0662,0.000419475,0.000419475,0.000419475
52,1477.71,0.67611,0.46335,0.953,0.82437,0.60704,0.6714,0.47292,0.94112,0.74569,1.05599,0.000413584,0.000413584,0.000413584
53,1505.25,0.65911,0.44981,0.9427,0.80994,0.59165,0.65597,0.46162,0.93276,0.77094,1.06058,0.000407694,0.000407694,0.000407694
54,1532.6,0.66814,0.45619,0.94564,0.78654,0.58547,0.64499,0.44413,0.98074,0.80654,1.07583,0.000401804,0.000401804,0.000401804
55,1560.1,0.66761,0.4541,0.94651,0.79159,0.59224,0.65455,0.45317,0.96846,0.78298,1.06463,0.000395913,0.000395913,0.000395913
56,1587.38,0.66432,0.45253,0.94256,0.77888,0.59573,0.65487,0.45846,0.95995,0.79231,1.06743,0.000390023,0.000390023,0.000390023
57,1615.18,0.6565,0.44856,0.94376,0.79161,0.59668,0.65837,0.46755,0.94688,0.77291,1.07005,0.000384132,0.000384132,0.000384132
58,1642.61,0.65515,0.44547,0.94466,0.79464,0.60337,0.6638,0.46058,0.95962,0.75513,1.06545,0.000378242,0.000378242,0.000378242
59,1670.02,0.64961,0.44026,0.94089,0.79571,0.60464,0.66609,0.4604,0.95329,0.74133,1.06503,0.000372351,0.000372351,0.000372351
60,1697.41,0.64681,0.43858,0.9354,0.79317,0.59189,0.66106,0.46066,0.95446,0.7522,1.0668,0.00036646,0.00036646,0.00036646
61,1725.1,0.64849,0.44081,0.94046,0.82371,0.60344,0.67025,0.47877,0.9175,0.73072,1.04806,0.00036057,0.00036057,0.00036057
62,1752.52,0.64997,0.43735,0.93934,0.77838,0.6092,0.66363,0.45973,0.94777,0.74736,1.06079,0.00035468,0.00035468,0.00035468
63,1779.97,0.64891,0.43938,0.93929,0.81331,0.61153,0.67211,0.46574,0.94633,0.73083,1.06071,0.000348789,0.000348789,0.000348789
64,1807.33,0.64228,0.43108,0.93732,0.81699,0.61384,0.67599,0.47731,0.94934,0.72043,1.06845,0.000342899,0.000342899,0.000342899
65,1834.72,0.64324,0.43164,0.93463,0.79815,0.60005,0.66202,0.46135,0.96099,0.75663,1.07066,0.000337008,0.000337008,0.000337008
66,1861.92,0.63875,0.42875,0.93415,0.80716,0.59914,0.65878,0.46786,0.93572,0.77652,1.06906,0.000331118,0.000331118,0.000331118
67,1889.28,0.64156,0.43189,0.93793,0.79436,0.59842,0.65917,0.45667,0.96339,0.78564,1.06968,0.000325227,0.000325227,0.000325227
68,1916.74,0.63614,0.42874,0.94031,0.78662,0.59957,0.66095,0.46199,0.94744,0.75893,1.07235,0.000319336,0.000319336,0.000319336
69,1944.42,0.62857,0.42105,0.93202,0.78864,0.60378,0.66284,0.45938,0.96364,0.76887,1.07437,0.000313446,0.000313446,0.000313446
70,1972.02,0.62923,0.42018,0.92656,0.8013,0.60297,0.66415,0.45807,0.95249,0.74177,1.06011,0.000307555,0.000307555,0.000307555
71,1999.5,0.63403,0.42269,0.93227,0.77534,0.60501,0.66025,0.46654,0.95049,0.76811,1.06167,0.000301665,0.000301665,0.000301665
72,2026.89,0.62977,0.42407,0.93018,0.81196,0.60304,0.66611,0.46692,0.95262,0.74722,1.07233,0.000295775,0.000295775,0.000295775
73,2054.37,0.62742,0.41871,0.93328,0.78494,0.60417,0.65838,0.4642,0.95253,0.77594,1.07434,0.000289884,0.000289884,0.000289884
74,2081.84,0.62068,0.41471,0.92502,0.78278,0.60146,0.65842,0.46577,0.94491,0.76735,1.06465,0.000283994,0.000283994,0.000283994
75,2109.39,0.61803,0.41589,0.93023,0.75861,0.59935,0.6543,0.45657,0.9488,0.769,1.07151,0.000278103,0.000278103,0.000278103
76,2136.86,0.61822,0.40993,0.92533,0.79295,0.60433,0.6666,0.46353,0.9582,0.7475,1.07675,0.000272212,0.000272212,0.000272212
77,2165.23,0.62454,0.41357,0.92933,0.79592,0.6091,0.67003,0.47272,0.94078,0.71438,1.06206,0.000266322,0.000266322,0.000266322
78,2192.87,0.61692,0.40888,0.92724,0.79036,0.60234,0.66037,0.46929,0.93,0.77273,1.0697,0.000260431,0.000260431,0.000260431
79,2220.14,0.6091,0.40717,0.92526,0.79858,0.60369,0.66485,0.47603,0.93113,0.75954,1.06963,0.000254541,0.000254541,0.000254541
80,2247.57,0.62331,0.40946,0.92434,0.78223,0.6047,0.65968,0.45856,0.96421,0.77918,1.08172,0.000248651,0.000248651,0.000248651
81,2274.88,0.6139,0.40793,0.92752,0.80009,0.60562,0.66461,0.46109,0.96363,0.76005,1.07761,0.00024276,0.00024276,0.00024276
82,2302.25,0.61141,0.40266,0.92476,0.79291,0.61281,0.66857,0.47271,0.93992,0.7457,1.06385,0.000236869,0.000236869,0.000236869
83,2330.47,0.60202,0.39871,0.92321,0.79044,0.61213,0.66798,0.46703,0.94518,0.72098,1.06306,0.000230979,0.000230979,0.000230979
84,2358.15,0.60452,0.40083,0.91647,0.80757,0.60491,0.66499,0.4646,0.95585,0.74077,1.07088,0.000225089,0.000225089,0.000225089
85,2386.02,0.60151,0.39671,0.91369,0.78768,0.60635,0.66612,0.47011,0.92542,0.72718,1.06318,0.000219198,0.000219198,0.000219198
86,2413.48,0.60272,0.39832,0.92028,0.79676,0.60914,0.66455,0.46545,0.94936,0.74299,1.06979,0.000213307,0.000213307,0.000213307
87,2440.92,0.60455,0.39686,0.92015,0.79702,0.61428,0.66948,0.47341,0.92155,0.7171,1.05684,0.000207417,0.000207417,0.000207417
88,2468.82,0.59929,0.39618,0.91326,0.77132,0.60762,0.66113,0.46669,0.94466,0.76761,1.07147,0.000201527,0.000201527,0.000201527
89,2496.91,0.60164,0.39669,0.91804,0.7954,0.61263,0.67319,0.48056,0.93048,0.7342,1.06105,0.000195636,0.000195636,0.000195636
90,2524.6,0.59333,0.39084,0.91565,0.77789,0.6089,0.66102,0.47179,0.93165,0.76706,1.0697,0.000189745,0.000189745,0.000189745
91,2552.13,0.59201,0.39126,0.91505,0.78864,0.61281,0.66721,0.47115,0.92879,0.73795,1.06965,0.000183855,0.000183855,0.000183855
92,2579.98,0.59589,0.39276,0.91459,0.7778,0.61843,0.6653,0.4717,0.93892,0.73966,1.07523,0.000177965,0.000177965,0.000177965
93,2608.13,0.5892,0.39083,0.91587,0.80295,0.61275,0.6689,0.47447,0.92659,0.73493,1.06378,0.000172074,0.000172074,0.000172074
94,2636.02,0.59719,0.39217,0.91396,0.80815,0.6117,0.6683,0.47422,0.92429,0.75646,1.06217,0.000166183,0.000166183,0.000166183
95,2665.04,0.59074,0.38769,0.91509,0.78704,0.61592,0.66898,0.47854,0.92843,0.74932,1.0669,0.000160293,0.000160293,0.000160293
96,2695.71,0.58192,0.37955,0.90854,0.78493,0.60818,0.66489,0.46921,0.94862,0.74936,1.07018,0.000154403,0.000154403,0.000154403
97,2726.08,0.57762,0.38028,0.91099,0.7969,0.61521,0.67024,0.4759,0.91671,0.73386,1.06378,0.000148512,0.000148512,0.000148512
98,2757.21,0.57891,0.38014,0.90671,0.78651,0.61816,0.67355,0.47753,0.9366,0.72509,1.06726,0.000142621,0.000142621,0.000142621
99,2787.66,0.57655,0.37704,0.90427,0.76754,0.61101,0.66388,0.47,0.9461,0.74442,1.07803,0.000136731,0.000136731,0.000136731
100,2818.06,0.58048,0.37894,0.9109,0.80239,0.61079,0.66838,0.47119,0.93147,0.7263,1.07158,0.000130841,0.000130841,0.000130841
101,2848.32,0.58163,0.37983,0.91288,0.79706,0.60544,0.66603,0.47141,0.93166,0.75052,1.07702,0.00012495,0.00012495,0.00012495
102,2878.86,0.57271,0.37442,0.90518,0.78325,0.6087,0.66518,0.46746,0.93534,0.75228,1.07771,0.00011906,0.00011906,0.00011906
