epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1339.92,0.66966,0.45316,0.96693,0.85644,0.65312,0.72363,0.49466,0.94224,0.66139,1.1474,0.000424187,0.000424187,0.000424187
43,1384.52,0.67601,0.45983,0.96763,0.85591,0.65319,0.72402,0.49362,0.94292,0.65386,1.14572,0.000417119,0.000417119,0.000417119
44,1436.66,0.66242,0.44764,0.96581,0.86629,0.65964,0.7254,0.49472,0.92895,0.6583,1.14661,0.00041005,0.00041005,0.00041005
45,1487.84,0.65075,0.44139,0.95056,0.86853,0.65747,0.72937,0.49477,0.9318,0.63532,1.14978,0.000402982,0.000402982,0.000402982
46,1540.73,0.64875,0.42887,0.95166,0.86483,0.66452,0.7321,0.50496,0.92843,0.64817,1.14227,0.000395913,0.000395913,0.000395913
47,1595.77,0.64413,0.43011,0.9495,0.8539,0.66031,0.72246,0.49274,0.93177,0.64732,1.16367,0.000388844,0.000388844,0.000388844
48,1650.51,0.64353,0.43286,0.95082,0.86533,0.65748,0.72178,0.48725,0.96439,0.66118,1.1625,0.000381776,0.000381776,0.000381776
49,1704.97,0.63793,0.42113,0.94193,0.87188,0.65992,0.72915,0.49629,0.94523,0.64809,1.14577,0.000374707,0.000374707,0.000374707
50,1759.76,0.6375,0.42375,0.94426,0.87424,0.66969,0.73345,0.49658,0.93389,0.62092,1.1412,0.000367639,0.000367639,0.000367639
51,1810.81,0.6133,0.41067,0.92683,0.86982,0.67113,0.73535,0.50547,0.91241,0.62674,1.13251,0.00036057,0.00036057,0.00036057
52,1853.13,0.62369,0.41127,0.92876,0.87733,0.64164,0.71596,0.49072,0.93005,0.63718,1.13687,0.000353501,0.000353501,0.000353501
53,1881.96,0.61262,0.41419,0.93602,0.86198,0.65696,0.72492,0.49143,0.95721,0.6615,1.15608,0.000346433,0.000346433,0.000346433
54,1902.47,0.60244,0.40292,0.91772,0.86388,0.66609,0.72821,0.48338,0.96484,0.6357,1.14587,0.000339364,0.000339364,0.000339364
55,1923.41,0.61772,0.40777,0.92332,0.87196,0.6537,0.7204,0.48842,0.95083,0.63344,1.15106,0.000332296,0.000332296,0.000332296
56,1943.89,0.58966,0.39377,0.91705,0.87989,0.67347,0.73921,0.51085,0.91646,0.61321,1.13241,0.000325227,0.000325227,0.000325227
57,1966.84,0.60363,0.40763,0.93247,0.88704,0.66431,0.7343,0.49937,0.92573,0.61784,1.13553,0.000318158,0.000318158,0.000318158
58,1991.46,0.59576,0.39281,0.92231,0.86434,0.68002,0.73917,0.5033,0.93027,0.61041,1.1433,0.00031109,0.00031109,0.00031109
59,2018.54,0.58439,0.3903,0.92358,0.86589,0.66917,0.7258,0.48738,0.95847,0.62676,1.15178,0.000304021,0.000304021,0.000304021
60,2041.04,0.58292,0.38956,0.92033,0.8631,0.67109,0.73565,0.4968,0.94076,0.61213,1.13833,0.000296953,0.000296953,0.000296953
61,2074.87,0.57511,0.37614,0.91181,0.88147,0.66939,0.73841,0.5121,0.90297,0.60653,1.13434,0.000289884,0.000289884,0.000289884
62,2109.33,0.56802,0.36954,0.91425,0.88353,0.6697,0.7371,0.50985,0.90779,0.61082,1.13526,0.000282815,0.000282815,0.000282815
63,2134.07,0.55402,0.36461,0.90357,0.87782,0.67678,0.73742,0.4997,0.92591,0.60525,1.14689,0.000275747,0.000275747,0.000275747
64,2155.68,0.56844,0.36782,0.90873,0.87675,0.67428,0.7359,0.50117,0.94075,0.61741,1.15842,0.000268678,0.000268678,0.000268678
65,2184.75,0.55757,0.36179,0.89953,0.88001,0.66142,0.73405,0.49885,0.93235,0.60188,1.14206,0.00026161,0.00026161,0.00026161
66,2231.04,0.55761,0.35782,0.90401,0.87467,0.66672,0.73397,0.49775,0.92456,0.59409,1.14282,0.000254541,0.000254541,0.000254541
67,2283.93,0.54649,0.35374,0.8993,0.87868,0.67491,0.74063,0.50724,0.91786,0.5872,1.14069,0.000247472,0.000247472,0.000247472
68,2336.12,0.54906,0.35529,0.90404,0.87679,0.67545,0.74199,0.51273,0.91467,0.58691,1.14369,0.000240404,0.000240404,0.000240404
69,2389.19,0.53534,0.35137,0.88127,0.88639,0.66926,0.7396,0.50774,0.92767,0.58839,1.14261,0.000233335,0.000233335,0.000233335
70,2440.71,0.52978,0.34851,0.88322,0.87587,0.67173,0.73969,0.50462,0.91775,0.59695,1.13663,0.000226267,0.000226267,0.000226267
71,2493.39,0.53142,0.34444,0.89565,0.88031,0.68006,0.74582,0.51476,0.9131,0.58814,1.14489,0.000219198,0.000219198,0.000219198
