epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1717.3,0.60665,0.37716,0.95347,0.83078,0.61126,0.67315,0.48106,0.93196,0.75686,1.17202,0.000424187,0.000424187,0.000424187
43,1753.22,0.60252,0.37715,0.94616,0.77563,0.60783,0.66502,0.47057,0.95137,0.80978,1.1756,0.000417119,0.000417119,0.000417119
44,1789.31,0.59553,0.36961,0.94466,0.81997,0.61008,0.67324,0.47706,0.91664,0.74839,1.15463,0.00041005,0.00041005,0.00041005
45,1825.19,0.59109,0.36841,0.94038,0.80561,0.60696,0.66757,0.46644,0.95,0.77028,1.17294,0.000402982,0.000402982,0.000402982
46,1861.81,0.58648,0.36601,0.94043,0.80962,0.59831,0.66075,0.46085,0.93331,0.76778,1.17095,0.000395913,0.000395913,0.000395913
47,1897.48,0.58858,0.36317,0.93791,0.82902,0.60729,0.67452,0.47693,0.9115,0.71638,1.15075,0.000388844,0.000388844,0.000388844
48,1933.71,0.58779,0.35796,0.93223,0.79629,0.61287,0.66945,0.46024,0.9564,0.74073,1.17177,0.000381776,0.000381776,0.000381776
49,1969.72,0.58383,0.35402,0.93426,0.8334,0.59773,0.66514,0.47717,0.90518,0.72601,1.1496,0.000374707,0.000374707,0.000374707
50,2005.85,0.57785,0.35055,0.9342,0.82351,0.61374,0.67318,0.46965,0.93194,0.72607,1.17646,0.000367639,0.000367639,0.000367639
51,2042.18,0.57327,0.35613,0.93386,0.82058,0.61773,0.67682,0.49119,0.88664,0.71964,1.15418,0.00036057,0.00036057,0.00036057
52,2079.49,0.5758,0.3506,0.93522,0.79368,0.60853,0.66703,0.47064,0.94516,0.73361,1.18326,0.000353501,0.000353501,0.000353501
53,2115.27,0.56844,0.35281,0.92838,0.78917,0.61243,0.66743,0.47683,0.93715,0.76877,1.17772,0.000346433,0.000346433,0.000346433
54,2164.05,0.56484,0.34509,0.9209,0.83065,0.6121,0.6746,0.47701,0.9342,0.7346,1.16988,0.000339364,0.000339364,0.000339364
55,2207.4,0.56057,0.34026,0.91874,0.82743,0.61727,0.67714,0.48281,0.91503,0.71039,1.16855,0.000332296,0.000332296,0.000332296
56,2261.8,0.55042,0.33373,0.91963,0.79376,0.61731,0.67378,0.46964,0.97531,0.75683,1.21729,0.000325227,0.000325227,0.000325227
57,2314.32,0.54819,0.33804,0.91813,0.77775,0.62026,0.66815,0.47509,0.94783,0.74534,1.20309,0.000318158,0.000318158,0.000318158
58,2351.28,0.5477,0.33237,0.91354,0.78139,0.6136,0.66758,0.47008,0.95079,0.75628,1.17732,0.00031109,0.00031109,0.00031109
59,2386.92,0.55669,0.33543,0.92401,0.79891,0.61234,0.6713,0.47287,0.94466,0.744,1.17892,0.000304021,0.000304021,0.000304021
60,2422.73,0.54031,0.32619,0.91692,0.79925,0.60976,0.67207,0.47614,0.94226,0.74868,1.18695,0.000296953,0.000296953,0.000296953
61,2459.27,0.5383,0.32125,0.90982,0.79528,0.61954,0.67521,0.48837,0.90936,0.74967,1.16961,0.000289884,0.000289884,0.000289884
62,2494.97,0.53731,0.32375,0.90998,0.81794,0.6204,0.68002,0.49019,0.90861,0.73765,1.17901,0.000282815,0.000282815,0.000282815
63,2530.94,0.52987,0.31836,0.91138,0.81166,0.60818,0.66453,0.47639,0.93234,0.75787,1.18549,0.000275747,0.000275747,0.000275747
64,2566.89,0.51903,0.31441,0.90438,0.82727,0.62787,0.68756,0.48505,0.92619,0.70232,1.17053,0.000268678,0.000268678,0.000268678
65,2603.02,0.51968,0.31045,0.89694,0.79513,0.61572,0.67006,0.46702,0.9459,0.72677,1.18658,0.00026161,0.00026161,0.00026161
66,2639.33,0.52288,0.31073,0.9,0.77815,0.6178,0.6749,0.47833,0.9234,0.74515,1.18145,0.000254541,0.000254541,0.000254541
67,2675.59,0.51195,0.30375,0.89194,0.7877,0.60588,0.66908,0.4649,0.94619,0.76035,1.19009,0.000247472,0.000247472,0.000247472
68,2712.18,0.51077,0.30365,0.89344,0.80517,0.61923,0.67575,0.49126,0.88633,0.73636,1.16221,0.000240404,0.000240404,0.000240404
69,2750.02,0.51163,0.3036,0.89242,0.8041,0.62276,0.68365,0.48888,0.91511,0.70419,1.17257,0.000233335,0.000233335,0.000233335
70,2785.89,0.50978,0.30633,0.89289,0.83338,0.61939,0.68508,0.4879,0.91806,0.69855,1.17365,0.000226267,0.000226267,0.000226267
71,2822.04,0.50026,0.30059,0.89597,0.80772,0.61751,0.68024,0.48863,0.90161,0.69823,1.16718,0.000219198,0.000219198,0.000219198
72,2862.53,0.49934,0.29637,0.88576,0.8112,0.62442,0.68295,0.4961,0.89516,0.69658,1.16876,0.000212129,0.000212129,0.000212129
73,2928.33,0.49981,0.29842,0.88891,0.81357,0.6154,0.67745,0.48494,0.91049,0.70876,1.17315,0.000205061,0.000205061,0.000205061
74,2980.09,0.48812,0.291,0.88633,0.81062,0.61696,0.6819,0.48705,0.92835,0.70062,1.18278,0.000197992,0.000197992,0.000197992
75,3031.08,0.48844,0.28904,0.8832,0.80614,0.62219,0.68545,0.48502,0.92682,0.70286,1.18928,0.000190924,0.000190924,0.000190924
76,3070.24,0.48329,0.28403,0.88393,0.81472,0.63302,0.69415,0.50143,0.90221,0.6778,1.17564,0.000183855,0.000183855,0.000183855
77,3107.64,0.48235,0.28432,0.87945,0.82737,0.62643,0.68747,0.49104,0.92048,0.67974,1.18772,0.000176786,0.000176786,0.000176786
78,3143.55,0.47684,0.28278,0.87853,0.82118,0.63594,0.69383,0.50265,0.89877,0.67691,1.18247,0.000169718,0.000169718,0.000169718
79,3181.43,0.47696,0.27988,0.8786,0.81394,0.61908,0.68256,0.48538,0.91677,0.69769,1.18791,0.000162649,0.000162649,0.000162649
80,3217.8,0.47552,0.27837,0.87594,0.81189,0.61434,0.67912,0.48348,0.92718,0.71457,1.19394,0.000155581,0.000155581,0.000155581
81,3254.29,0.47556,0.27777,0.87503,0.81487,0.6326,0.69185,0.49589,0.92144,0.68581,1.18977,0.000148512,0.000148512,0.000148512
82,3291.02,0.46315,0.27423,0.87291,0.80421,0.61779,0.67974,0.48909,0.91317,0.71152,1.19273,0.000141443,0.000141443,0.000141443
83,3327.49,0.4565,0.26875,0.86941,0.81707,0.61917,0.68269,0.4865,0.91464,0.70016,1.1902,0.000134375,0.000134375,0.000134375
84,3363.81,0.45823,0.27237,0.87583,0.81062,0.62963,0.68923,0.49393,0.92369,0.69714,1.19224,0.000127306,0.000127306,0.000127306
85,3399.93,0.45393,0.26743,0.865,0.82688,0.61805,0.68412,0.48767,0.90987,0.68831,1.19332,0.000120238,0.000120238,0.000120238
86,3435.99,0.4499,0.26312,0.86428,0.81598,0.62502,0.68637,0.49519,0.89117,0.69566,1.17907,0.000113169,0.000113169,0.000113169
87,3472.38,0.44249,0.26117,0.86536,0.80504,0.6243,0.6846,0.48959,0.90555,0.68845,1.18717,0.0001061,0.0001061,0.0001061
88,3508.56,0.44176,0.25928,0.85694,0.8069,0.62297,0.68373,0.48779,0.92739,0.69725,1.20015,9.90318e-05,9.90318e-05,9.90318e-05
89,3544.52,0.44181,0.25839,0.86092,0.81083,0.62713,0.68546,0.49242,0.91525,0.69699,1.20027,9.19632e-05,9.19632e-05,9.19632e-05
90,3580.34,0.44212,0.25986,0.86355,0.80792,0.62254,0.68293,0.48849,0.90744,0.70741,1.19845,8.48946e-05,8.48946e-05,8.48946e-05
91,3618.56,0.43605,0.25424,0.86159,0.80852,0.61878,0.68202,0.48896,0.90445,0.70855,1.19428,7.7826e-05,7.7826e-05,7.7826e-05
92,3657.17,0.4337,0.25426,0.86131,0.81129,0.62333,0.68672,0.48985,0.91165,0.70357,1.1968,7.07574e-05,7.07574e-05,7.07574e-05
93,3696.74,0.42706,0.25087,0.85485,0.78942,0.6223,0.67948,0.4844,0.92525,0.71866,1.20752,6.36888e-05,6.36888e-05,6.36888e-05
94,3748.16,0.42386,0.24878,0.85471,0.79093,0.62931,0.68485,0.4898,0.90939,0.70107,1.19954,5.66202e-05,5.66202e-05,5.66202e-05
95,3799.68,0.42422,0.24769,0.85521,0.81441,0.6256,0.68746,0.49555,0.89247,0.68352,1.18758,4.95516e-05,4.95516e-05,4.95516e-05
96,3851.15,0.41864,0.24724,0.85166,0.79579,0.62584,0.68348,0.48961,0.91117,0.69923,1.20003,4.2483e-05,4.2483e-05,4.2483e-05
97,3887.84,0.41714,0.245,0.85264,0.7929,0.62838,0.68576,0.4948,0.90509,0.69527,1.20088,3.54144e-05,3.54144e-05,3.54144e-05
98,3924.13,0.41526,0.24412,0.85193,0.79923,0.62633,0.68499,0.49124,0.90804,0.69371,1.2037,2.83458e-05,2.83458e-05,2.83458e-05
99,3960.35,0.41493,0.24366,0.85071,0.80636,0.62744,0.68832,0.49671,0.89688,0.68409,1.20035,2.12772e-05,2.12772e-05,2.12772e-05
100,3996.27,0.40691,0.23969,0.85069,0.81191,0.62666,0.68848,0.49857,0.89507,0.68254,1.19855,1.42086e-05,1.42086e-05,1.42086e-05
